Paises;Continente;Casos Positivos;CxM Habitantes;Fallecidos;Porcentaje Fallecidos;FxM Habitantes;Recuperados;Porcentaje Recuperados;Anio_x;PIB Anual (M.E);PIB Anual (M.D);Var PIB Anual;PIB Per Capita (E);PIB Per Capita (D);Var PIB Per Capita
Australia;Oceanía;6303;256,2;59;0.9 %;2,4;3265;51.8 %;2018;1232668;1420045;1.9;48976;56420;-3.4
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;53370;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;0;60897;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;0;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;0;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;53370;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;310576;0;0;0;60897;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;53370;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;0;60897;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;0;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;0;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;53370;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2018;0;352058;0;0;60897;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;53370;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;0;60897;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;0;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;0;0;0
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;53370;0;2.6
Dinamarca;Europa;5996;1030,2;260;4.3 %;44,7;1955;32.6 %;2019;0;0;2.2;0;60897;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2018;0;245226;0;0;0;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2018;0;245226;0;20610;0;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2018;0;245226;0;0;23113;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2018;0;245226;0;20610;0;5.5
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2018;0;245226;0;0;23113;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2019;219896;0;2.4;0;0;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2019;219896;0;2.4;20610;0;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2019;219896;0;2.4;0;23113;0
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2019;219896;0;2.4;20610;0;5.5
República Checa;Europa;5902;554,2;129;2.2 %;12,1;411;7 %;2019;219896;0;2.4;0;23113;0
Pakistán;Asia;5038;22,7;86;1.7 %;0,4;1026;20.4 %;2018;266374;314588;5.5;1326;1565;-3
Malasia;Asia;4530;143,3;73;1.6 %;2,3;1995;44 %;2018;303757;358579;4.7;9380;11072;6.3
Filipinas;Asia;4428;40,7;247;5.6 %;2,3;157;3.5 %;2018;280119;330910;6.2;2626;3103;-0.7
México;América;4219;33 [134]​;273;6.5 %;2,1;633;44.1 %;2018;1034622;1222053;2.1;8294;9797;-0.3
Arabia Saudita;Asia;4033;116,5;52;1.3 %;1,5;720;17.9 %;2018;665980;786522;2.4;19762;23339;5.7
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2018;0;1022454;0;0;3871;0
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2018;0;1022454;0;0;0;13.2
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2018;0;1022454;0;0;0;0
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2018;0;1022454;0;3785;0;13.2
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2018;0;1022454;0;0;3871;0
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2019;999916;0;5;0;3871;0
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2019;999916;0;5;0;0;13.2
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2019;999916;0;5;0;0;0
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2019;999916;0;5;3785;0;13.2
Indonesia;Asia;3842;14,2;327;8.5 %;1,2;286;7.4 %;2019;999916;0;5;0;3871;0
Emiratos Árabes Unidos;Asia;3736;377,8;20;0.5 %;2;588;15.7 %;2018;350702;414179;1.7;36414;43005;3.3
Serbia;Europa;3380;491,3;74;2.2 %;10,8;118;3.5 %;2019;45912;51398;4.2;6590;7381;7.3
Luxemburgo;Europa;3270;5274,2;62;1.9 %;100;500;15.3 %;2019;63516;71106;2.3;102200;115829;3.6
Panamá;América;3234;760,9;79;2.4 %;18,6;23;0.7 %;2018;55085;65055;3.7;13245;15643;-1.6
Finlandia;Europa;2905;525,3;49;1.7 %;8,9;300;10.3 %;2019;240924;269714;1;43630;48880;2.7
Ucrania;Europa;2777;65,2;83;3 %;1,9;89;3.2 %;2018;110802;130857;3.3;2639;3113;12.3
República Dominicana;América;2759;265,3;135;4.9 %;13;98;3.6 %;2018;72589;85630;7;7071;8341;1.4
Catar;Asia;2728;33,3;6;0.2 %;0,1;247;9.1 %;2018;162034;191362;1.5;58250;68794;4.7
Colombia;América;2709;54,3;100;3.7 %;2;214;7.9 %;2018;280249;330974;2.5;5624;6642;0.4
Tailandia;Asia;2551;36,9;38;1.5 %;0,6;1218;47.7 %;2018;427572;504928;4.1;6307;7448;5.7
Singapur;Asia;2299;401,2;8;0.3 %;1,4;528;23 %;2018;308411;364139;3.1;54692;64579;2.4
Bielorrusia;Europa;2226;236,6;23;1 %;2,4;172;7.7 %;2018;50502;59643;3.1;5330;6283;4.4
Argentina;América;2142;47,4;89;4.2 %;2;440;20.5 %;2018;442598;519487;-2.5;9933;11658;-22.9
Grecia;Europa;2081;194,1;93;4.5 %;8,7;269;12.9 %;2019;187457;209858;1.9;17500;19568;1.7
Sudáfrica;África;2028;34,2;25;1.2 %;0,4;410;20.2 %;2018;312057;368135;0.8;5386;6354;-0.6
Egipto;África;1939;19,4;146;7.5 %;1,5;426;22 %;2018;216325;249559;5.3;2231;2573;30
Argelia;África;1825;41,6;275;15.1 %;6,3;460;25.2 %;2018;147182;173757;1.4;3485;4115;-1.9
Islandia;Europa;1689;4691,7;8;0.5 %;22,2;841;49.8 %;2019;21603;24184;1.9;59910;67745;-3.9
Moldavia;Europa;1560;595,4;30;1.9 %;11,5;75;4.8 %;2018;9576;11309;4;2702;3191;12
Marruecos;África;1545;43,1;111;7.2 %;3,1;146;9.4 %;2018;100414;118534;3;2851;3366;2.3
Croacia;Europa;1534;373,2;21;1.4 %;5,1;323;21.1 %;2019;53937;60382;2.9;13232;14813;5.9
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;14720;0;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;0;16484;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;0;0;7.5
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;0;0;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;14720;0;7.5
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2018;0;161182;0;0;16484;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;14720;0;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;0;16484;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;0;0;7.5
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;0;0;0
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;14720;0;7.5
Hungría;Europa;1410;144,5;99;7 %;10,1;118;8.4 %;2019;143826;0;4.9;0;16484;0
Nueva Zelanda;Oceanía;1330;264,9;4;0.3 %;0,8;471;35.4 %;2018;176091;203127;2.8;35718;41205;-4.9
